OBJECTID,LIFECYCLESTATUS,INSTALLDATE,ASSET_TYPE,ASSET_ID,ENTNAME,ROAD_ID,ADDRESS_ID,CIVIC_ADDRESS,OWNER,ASBUILTNUMBER,POSITION_ACCURACY,ACCESSTYPE,ACCESSDIAMETER,TOPOFCATCHBASIN,INVERTELEVATION,SUMP,x,y
1,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10041975,CB-1142199,8178,75714,293 BUSHVIEW CRES,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5674338721479,43.4957419156774
2,Active,1/1/1994 12:00:00 AM,Single Catchbasin,10038271,CB-1117733,25204,94798,434 EASTBRIDGE BLVD,City of Waterloo,5-1634,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5045297727002,43.5046678383831
3,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10037683,MA41R-017,4700,75919,367 STONEHEIGHT PL,City of Waterloo,,Estimated/Unknown,Grate,,349.575,,Yes,-80.5701934798271,43.4965905633588
4,Active,1/1/1985 12:00:00 AM,Single Catchbasin,10131816,CLRS13R-57A,2222222,79253,575 HEMINGWAY PL,City of Waterloo,5-1222,Eng Dwg/As Built +/- 2m,Grate,,370.54,369.934,NA,-80.5653751605586,43.4507770333193
5,Active,1/1/1979 12:00:00 AM,Single Catchbasin,10040491,CLRN18R-134,618,79070,103 MCCRAE PL,City of Waterloo,5-1015,Aerial Photo +/- 0.5m,Grate,,366.299,,Yes,-80.5639036724831,43.4531402148248
6,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10042627,CB-1127538,7209,92596,92 COLUMBIA ST W,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5339084616423,43.4792180278505
7,Active,11/1/2016 12:00:00 AM,Single Catchbasin,10184264,CB-1152437,3322,88588,580 COLBY DR,Region of Waterloo,,Eng Dwg/As Built +/- 2m,,,,,,-80.5369502410194,43.5005174738892
8,Active,1/6/2011 12:00:00 AM,Single Catchbasin,10043995,CB-1148447,80132,118176,374 BAMBERG CRES,City of Waterloo,5-2239,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5796828611543,43.4533000770274
9,Active,1/1/1970 12:00:00 AM,Single Catchbasin,10204376,CB-1163907,7991,73972,603 GLENDENE CRES,City of Waterloo,,Field Notes,,,,,Yes,-80.5571307964025,43.491232401871
10,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044386,CB-1142601,28097,70584,759 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5904374685888,43.4627734408677
11,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10039758,CB-1142608,28098,70590,801 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.591559366111,43.4616471225967
12,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10040770,CB-1144724,28904,103189,570 ST MORITZ AVE,City of Waterloo,5-2143,Aerial Photo +/- 0.5m,Grate,,,,Yes,-80.5831405761322,43.453516342643
13,Active,1/1/1962 12:00:00 AM,Single Catchbasin,10037388,C6R-31,7235,93271,470 PHILLIP ST,City of Waterloo,,GPS +/- 0.5m,Grate,,345.655,,No,-80.5396200090108,43.484282619532
14,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10042895,CB-1142607,28098,70601,800 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.591661857896,43.4617523037566
15,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044243,CB-1142603,28097,71230,774 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5909069378197,43.4624491523351
16,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10037283,CB-1142751,28042,99892,845 MUNICH CIR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5892273522648,43.4601363222923
17,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10041937,CB-1122799,7969,86902,130 DEARBORN PL,City of Waterloo,5-1153,TSS,Grate,,324.189,,Yes,-80.5181077882691,43.4873197454433
18,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10041517,CB-1143665,29465,102709,350 SAUVE CRES,City of Waterloo,5-2132,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5766258901911,43.4501454278338
19,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10044196,CB-1142753,28042,99897,865 MUNICH CIR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5885801374196,43.4606553950997
20,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10043175,CLN39L-66,27149,70592,815 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,370.2,,Yes,-80.5917210373896,43.4612698153464
21,Active,1/1/2005 12:00:00 AM,Double Catchbasin,10037084,CB-1143051,30176,103371,869 LAURELWOOD DR,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.6028509148688,43.4733893802877
22,Active,1/1/2003 12:00:00 AM,Double Catchbasin,10042808,CB-1143061,29142,102061,511 BLUE BEECH BLVD,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.592281090548,43.468162571341
23,Active,12/18/2012 12:00:00 AM,Single Catchbasin,10043858,CB-1145091,80103,119902,289 BUTTONBUSH ST,City of Waterloo,5-2252,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5895138451986,43.451423384924
24,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10043604,CB-1103385,26338,70886,647 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5861658906631,43.4640901140175
25,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10041363,CB-1103387,26337,70889,631 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5855397771764,43.4643150097542
26,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10040972,CB-1103384,26338,70884,667 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5867703586119,43.4638735466796
27,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044240,CB-1142604,28097,98956,699 BLACK CHERRY ST,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5906060995204,43.46281255902
28,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10039574,CB-1142606,28098,70587,787 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5910387234192,43.4620436159029
29,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10042144,CB-1142602,28097,71216,775 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5907816848201,43.4623561998021
30,Active,10/1/2007 12:00:00 AM,Single Catchbasin,10041404,CB-1149291,10606,84688,79 ELLIS CRES S,City of Waterloo,15-741,Eng Dwg/As Built +/- 2m,Grate,,111.111,111.111,Yes,-80.5057470275757,43.4688160362064
31,Active,1/1/2007 12:00:00 AM,Single Catchbasin,10041323,CB-1145818,283,89183,64 UNION ST E,City of Waterloo,15-760,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5137866302943,43.4613267881916
32,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10044145,CB-1142828,26983,98451,721 KARLSFELD RD,City of Waterloo,5-1829,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.578210750899,43.4571676901238
33,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10038829,CB-1143667,29463,102687,413 ST ARMAND DR,City of Waterloo,5-2129,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.573435390013,43.4505697242449
34,Active,1/1/1972 12:00:00 AM,Single Catchbasin,10039242,CB-1127476,7369,93787,511 ALBERT ST,City of Waterloo,,GPS +/- 0.5m,Grate,,337.885,,Yes,-80.5416404031249,43.4872641026799
35,Active,1/1/1994 12:00:00 AM,Double Catchbasin,10044285,CN8L-195,25229,71152,443 CABOT TRAIL,City of Waterloo,5-1638,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5022439654336,43.5051473377324
36,Active,1/1/2010 12:00:00 AM,Single Catchbasin,10043921,CB-1150180,80064,102791,656 INTERLAKEN DR,City of Waterloo,5-2345,Aerial Photo +/- 0.5m,Grate,,,377.5,Yes,-80.5841864493458,43.4544152883857
37,Active,1/1/1962 12:00:00 AM,Single Catchbasin,10040838,L32L-121,7233,91965,366 HAZEL ST,City of Waterloo,,GPS +/- 0.5m,Grate,,339.138,,No,-80.5321685931851,43.4805904657103
38,Active,1/1/1955 12:00:00 AM,Single Catchbasin,10038128,L38R-188,10299,83347,244 UNION ST E,City of Waterloo,,P(0.1),Grate,,337.266,,,-80.5010456835499,43.4669104965836
39,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10040318,CB-1143680,80167,103266,783 LUCERNE AVE,City of Waterloo,5-2145,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5811673051525,43.4536448161611
40,Active,1/1/2001 12:00:00 AM,Single Catchbasin,10041373,CB-1142577,28457,99233,400 LAUSANNE CRES,City of Waterloo,5-1979,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.572810015503,43.4512986197015
41,Active,11/1/2016 12:00:00 AM,Single Catchbasin,10184266,CB-1152525,3326,88557,53 NORTHFIELD DR W,Region of Waterloo,15-1075,Eng Dwg/As Built +/- 2m,,,342.253,340.706,,-80.5373149742084,43.5000799492058
